id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1022184909331440897,"Quaint Family home, walking distance to the beach",5659734,Tamryn-Leigh,,Ward 23,-33.79732,18.47869,Entire home/apt,1750,1,2,2024-05-29,0.34,1,194,2,
1020755244171888963,Lovely summer holiday home,336327511,Maritza,,Ward 84,-34.07759,18.87023,Entire home/apt,4000,7,0,,,1,83,0,
1022248041963949910,Lions Head view Seapoint Apartment,160056632,Heidi,,Ward 54,-33.9166707,18.3914776,Entire home/apt,1750,1,4,2024-02-01,0.57,9,154,4,
1020772752686162853,Central Family Home - Built in 1800s,130083868,City Living Rentals,,Ward 115,-33.9321736832293,18.416651097478013,Entire home/apt,1200,10,0,,,3,128,0,
1022251196509986531,Relaxation in style & comfort. Somerset West.,305103475,Alex,,Ward 84,-34.07437708730501,18.876728657022294,Entire home/apt,3286,7,0,,,1,11,0,
1022260254947160652,"Seaside 
""House on the Rocks"" 
Kalk Bay",273472540,Dianne,,Ward 64,-34.13262895622819,18.446080661938232,Entire home/apt,2025,3,1,2024-01-04,0.17,1,184,1,
1020786887534414435,Mountain and beach views,59452555,Janine,,Ward 15,-34.0678835,18.849394,Entire home/apt,,3,5,2024-05-18,0.79,1,229,5,
1020806624055852874,203 Sussex Mews Woodstock,185308070,LaStay,,Ward 115,-33.9284546,18.4465695,Entire home/apt,662,2,3,2024-03-25,0.50,95,66,3,
1020811283695038208,Golf Estate Home!,7122851,Margot,,Ward 84,-34.05776555067499,18.880192035715265,Entire home/apt,6900,10,0,,,14,88,0,
1022296069351803482,Sunny Bank - Luxury 8-pax Villa,86070255,Leon,,Ward 69,-34.11378126107231,18.385376276795963,Entire home/apt,7900,5,0,,,1,244,0,
1020817589039994809,205 S/M 1 Bedroom in Woodstock,185308070,LaStay,,Ward 115,-33.9284546,18.4465695,Entire home/apt,675,2,1,2023-11-29,0.14,95,63,1,
1022388350500904026,Family home in Oranjezicht,20798536,Nele,,Ward 77,-33.94136606103088,18.41031874978635,Entire home/apt,5500,3,1,2024-01-05,0.17,2,161,1,
1020835897036190161,Home in Newlands. 14 Dec - 2nd Jan only!,545706123,Chris,,Ward 59,-33.9740799,18.4525964,Entire home/apt,,7,0,,,1,0,0,
1022398077930982120,Woodside Villa,130386906,Sarah,,Ward 77,-33.927987,18.403692,Entire home/apt,5900,3,2,2024-02-26,0.34,1,129,2,
1020837002646973489,B1 Sussex Mews Woodstock,185308070,LaStay,,Ward 115,-33.9284546,18.4465695,Entire home/apt,752,2,1,2023-11-19,0.13,95,63,1,
1020855804557300617,Luxury Fresnaye Family Home,23276018,Baki,,Ward 54,-33.92321159071866,18.390390493522418,Entire home/apt,10000,5,0,,,36,89,0,
1022405374743655140,Tranquil Tokai Forest escape/ Secure&Spacious,51995593,Tammi,,Ward 71,-34.05602,18.4417,Entire home/apt,3500,21,2,2024-01-15,0.27,1,91,2,
1022405985441535179,Home in Parklands| Jacuzzi | WIFI | UPS,310409462,Vuyo,,Ward 113,-33.818769,18.519685,Entire home/apt,3700,3,1,2024-01-03,0.17,1,318,1,
1020915812312682961,The Cutest Place,210555824,Teresa,,Ward 115,-33.92646909904193,18.44351146839959,Entire home/apt,1560,2,0,,,5,145,0,
1022447881945360108,Quaint spacious room in Gardens,546021069,Denelle,,Ward 77,-33.93244,18.42184,Private room,475,2,4,2024-03-29,0.59,1,89,4,
1022459212005577181,"Spacious, modern Sea Point home",480122805,Zack,,Ward 54,-33.91163872517636,18.395454275393668,Entire home/apt,10000,3,1,2023-12-30,0.16,6,21,1,
1022493623344546763,Terraces Full Power Backup 2-bed Flat@Century City,12545676,Ken,,Ward 55,-33.8841613,18.5186869,Entire home/apt,3000,5,0,,,17,89,0,
1020925013159778248,Cape Town Panorama Villa,23942222,Patrice,,Ward 77,-33.932553485156625,18.401726779773735,Entire home/apt,6000,2,2,2024-06-07,1.43,1,202,2,
1022540418108918478,Waters Edge Power Backup 2-Bedroom Apt@CenturyCity,12545676,Ken,,Ward 55,-33.89095180813649,18.51471415026247,Entire home/apt,3000,5,1,2024-01-02,0.17,17,89,1,
1020954000900282908,Contemporary Upper Constantia Villa with Solar,392942587,Jane,,Ward 62,-34.012050188674145,18.446542035192756,Entire home/apt,12350,10,2,2024-02-17,0.42,1,238,2,
1022556634273101399,Bridgewater Power Backup 2-Bedroom Apt CenturyCity,12545676,Ken,,Ward 55,-33.89615368445375,18.506010760852064,Entire home/apt,3000,6,1,2023-12-21,0.16,17,89,1,
1021035124588393990,Contemporary Design Home. Lush Gardens. Constantia,2897726,Katrina,,Ward 62,-34.025990263984895,18.41758430617341,Entire home/apt,12000,10,0,,,1,342,0,
1022763873849411484,2 Double Bedroom Home in Chelsea Village.,84051,Doug,,Ward 62,-34.0073158,18.4631441,Entire home/apt,1700,7,1,2024-02-10,0.21,1,239,1,
1021040322898569007,Fradel Lagoon Holiday Unit,292836607,Adeline,,Ward 55,-33.89706232255747,18.49273952152362,Entire home/apt,523,1,48,2024-06-14,6.32,3,353,48,
1021078873525731954,Bree Living (Luxe),99223532,Cal,,Ward 115,-33.923215027416575,18.417095185588348,Entire home/apt,24000,7,0,,,4,269,0,
1021118928578848466,House Majestic,513747099,SimpliRent,,Ward 64,-34.126833076800835,18.448229529468783,Entire home/apt,3571,2,0,,,8,259,0,
1022805754765681673,Stay at Gabby's,185006360,Florence,,Ward 8,-33.8841307,18.697385,Private room,1097,3,0,,,2,90,0,
1021270446246060548,Affordable accommodation,544805676,Babra,,Ward 57,-33.94721709567374,18.47535718722494,Private room,800,1,3,2023-12-31,0.40,2,270,3,
1021413181150369143,"Secure, Quiet Lakeside Complex With Pool & Mountai",20600730,Mandy & Dean,,Ward 64,-34.089495233526016,18.463418532146935,Entire home/apt,1876,3,3,2024-05-09,0.52,83,0,3,
1021471822076930818,"2 Bed unit on 1st floor, Big Bay",461851192,Daleen,,Ward 23,-33.78304276905604,18.4548312656067,Entire home/apt,1337,3,4,2024-01-02,0.59,3,225,4,
1022832183933921122,Safe secure neighbourhood.,103931128,Ken,,Ward 71,-34.08103001906458,18.45074269524658,Entire home/apt,2000,7,0,,,1,263,0,
1021502780591899145,Pypies Studio Hideaway,545713621,Annalie,,Ward 77,-33.93644615017534,18.425958430280875,Entire home/apt,1018,2,1,2023-11-18,0.13,1,55,1,
1022865766316252816,Mountain view loft  Clovelly,23054883,Leeanne,,Ward 64,-34.125191254710714,18.430243399874023,Entire home/apt,850,1,13,2024-04-21,2.18,1,365,13,
1021523194512252235,Chelsea on Main 2 Bedr Apartment,3886732,Koos,,Ward 115,-33.909736,18.4131961,Entire home/apt,1699,1,9,2024-06-09,1.19,83,168,9,
1021527109490045375,Bridgewater 1-bed Flat Stunning View@Century City,12545676,Ken,,Ward 55,-33.8966702,18.5052812,Entire home/apt,1800,5,1,2024-01-04,0.17,17,89,1,
1022962442804817954,Luxury Suite 'Mare' @ RIVA-ONE,546109288,Riva-ONE,,Ward 54,-33.96569325461568,18.374387917656744,Private room,2674,1,5,2024-05-11,0.97,4,138,5,
1021527514066472701,Cute single coastal apartment,508642273,Al,,Ward 54,-33.9635141,18.3767448,Entire home/apt,1360,1,1,2024-01-02,0.17,7,271,1,
1021528034205260695,Elite Retreats - Dal Villa,538169627,Daniel,,Ward 54,-33.94736247275485,18.38925944181801,Entire home/apt,25000,10,1,2024-01-03,0.17,4,26,1,
1021533390643723493,Beach Apartment in Gordons Bay,545847642,Nazley,,Ward 100,-34.15174385737748,18.86416622380372,Entire home/apt,1250,2,14,2024-05-26,2.25,1,88,14,
1022976886373157446,Gorgeous Tamboerskloof home,20218485,Victoria,,Ward 77,-33.92765826913896,18.408099163127385,Entire home/apt,2000,4,1,2024-01-03,0.17,1,15,1,
1021538593128301299,Elegant Seapoint 2Bed - Promenade 5min + parking,135183716,Sabath,,Ward 54,-33.9162639,18.3900849,Entire home/apt,1114,3,2,2024-06-23,2,14,152,2,
1022994731402038382,Spacious home with pool + Fibre + Wi-Fi + UPS,89274986,James,,Ward 4,-33.86595849113113,18.500353967302985,Entire home/apt,1250,3,3,2024-02-22,0.51,2,358,3,
1021543606638237502,AirScape getaway in stunning Cape Town,43615140,Adnaan,,Ward 65,-34.038815198619574,18.498962223529816,Private room,468,1,0,,,1,269,0,
1022995651199319524,605 WEX1 Designer Studio With Pool & Parking,437836003,Perch,,Ward 115,-33.9263349,18.4459834,Entire home/apt,762,1,3,2024-05-18,0.75,124,287,3,
1021561426331105349,"Solar Private Garden Home, King Bed,  Fast Wi-Fi",103202109,Peter,,Ward 74,-34.014134219865205,18.360252622514963,Entire home/apt,1750,2,12,2024-03-26,1.91,1,311,12,
1023011960751124610,"a Hout Bay Gem, duplex Family apartment -VALUE!",108793425,Robert,,Ward 74,-34.0408617856709,18.353162867002844,Entire home/apt,2800,5,0,,,1,194,0,
1021564113393263085,Terraces Full Power Backup 1-bed Flat@Century City,12545676,Ken,,Ward 55,-33.8841613,18.5186869,Entire home/apt,1800,5,0,,,17,89,0,
1021565222676963684,Heritage gem in caring block.,77019886,Niel,,Ward 64,-34.12964331128917,18.44710905789664,Entire home/apt,700,4,4,2024-02-17,0.57,1,269,4,
1023019786089065269,Stylish 2 bed in Fountain Suites Hotel,250405893,Rafiek,,Ward 115,-33.91963,18.4249699,Entire home/apt,1507,3,18,2024-06-20,2.63,1,161,18,
1023028971594490498,Elegant 2 Bedroom Sea Point Apartment - LH4,40121822,PerfectStays,,Ward 54,-33.913218,18.3914196,Entire home/apt,1200,2,20,2024-05-19,2.99,10,152,20,
1021581418229840422,Oceanview Sanctuary (The Marlo),469764568,Kumi Collection,,Ward 54,-33.9120939,18.3980771,Entire home/apt,1995,1,18,2024-06-14,2.92,4,163,18,
1021594638702993097,"Herschel Court Claremont, Cape Town Mountain View",87189294,Chelcea,,Ward 59,-33.98495,18.46386,Entire home/apt,1914,1,9,2024-04-22,1.90,1,262,9,
1021608084406383464,The Premier Hostel no loadshedding,545861039,Natalie,,Ward 57,-33.94159,18.4677,Private room,,1,0,,,1,0,0,
1023123834604849800,Luxury Corner Apartment close to the Beach,715643,Valentijn,,Ward 54,-33.9209377131937,18.38338548089118,Entire home/apt,1964,2,20,2024-06-01,3.05,1,134,20,
1021628908187312822,Charming Coastal Apartment,442359907,Faizel,,Ward 23,-33.792597595771575,18.46058963990122,Entire home/apt,1300,3,7,2024-04-08,1.00,2,319,7,
1023134806272873561,*CAMPS BAY Garden Pool Villa*,418916688,Lena,,Ward 54,-33.961855151775715,18.383866955456636,Entire home/apt,9200,5,2,2024-01-05,0.28,2,358,2,
1021637763122901647,"Central,Cozy,Safe",11858790,Emma Paola,,Ward 77,-33.93172119873808,18.406147440221428,Entire home/apt,1599,6,1,2024-04-15,0.39,22,242,1,
1023145524687020656,The View,61768961,Burger,,Ward 77,-33.94227,18.42468,Entire home/apt,1156,1,4,2024-04-07,0.59,40,180,4,
1021664854222216200,Sunny 1BR City Center | Parking | Backup Power,20602565,Lance,,Ward 115,-33.926123030322884,18.41301053862306,Entire home/apt,1100,2,15,2024-06-04,2.04,60,84,15,
1021670123289214148,Pool Parking Gym WiFi Views Location,394106050,Riccardo,,Ward 54,-33.92063838534613,18.384760540767516,Entire home/apt,1316,1,2,2024-03-20,0.28,6,106,2,
1023162901265270047,Spacious Garden Studio with Pool,546156783,Philippa,,Ward 58,-34.00108568820693,18.476694753967294,Private room,590,2,6,2024-04-15,1.06,1,77,6,
1024981339957580004,Redstone Suite,340908948,Laura,,Ward 84,-34.108692826925754,18.883454037452353,Private room,1080,1,0,,,3,275,0,
1024987563077658693,View 16 | Velvet Horizon,543521897,Thibault,,Ward 54,-33.967198,18.3811976,Entire home/apt,2530,2,6,2024-03-18,0.90,7,245,6,
1023186947118712111,"Meticulous Apartment on Strand Street,Ocean Views",369636918,Luna,,Ward 115,-33.9182604,18.4179181,Entire home/apt,673,2,23,2024-05-29,3.14,81,333,23,
1025010639082565616,View 16 | Boho Bliss,543521897,Thibault,,Ward 54,-33.967198,18.3811976,Entire home/apt,2760,2,10,2024-04-09,1.55,7,296,10,
1025019202378070424,View 16 | Lush Gaze,543521897,Thibault,,Ward 54,-33.967198,18.3811976,Entire home/apt,4025,3,6,2024-04-15,0.92,7,292,6,
1025025540611193643,Clivia Apartment,372543261,Erik,,Ward 59,-33.9633760823988,18.471564196746378,Entire home/apt,1500,1,4,2024-01-26,0.61,1,108,4,
1023208741068238910,"Sensei | Beach Villa, Camps Bay w Large Space",210460043,Love Luxury Homes,,Ward 54,-33.960164318197016,18.37875099375215,Entire home/apt,46013,7,0,,,1,76,0,
1023244162420069129,Spacious New York style loft | No Load Shedding,39174880,Rest Easy,,Ward 115,-33.917165647213245,18.419049143789817,Entire home/apt,1100,2,17,2024-06-15,2.68,47,62,17,
